test_size,result
0,100
1,104
2,105
3,107
4,108
5,110
6,112
7,116
8,116
9,117
10,120
11,121
12,123
13,126
14,129
15,130
16,130
17,131
18,133
19,136
20,136
21,140
22,142
23,145
24,145
25,146
26,148
27,152
28,153
29,155
30,157
31,158
32,158
33,159
34,161
35,164
36,166
37,168
38,170
39,173
40,173
41,174
42,179
43,180
44,182
45,183
46,187
47,188
48,188
49,190
50,192
51,195
52,195
53,198
54,200
55,203
56,203
57,205
58,207
59,210
60,211
61,213
62,215
63,216
64,216
65,217
66,219
67,223
68,224
69,226
70,228
71,231
72,231
73,233
74,237
75,238
76,240
77,241
78,246
79,247
80,247
81,248
82,250
83,253
84,253
85,257
86,259
87,262
88,262
89,263
90,265
91,268
92,270
93,272
94,274
95,275
96,275
97,276
98,278
99,281
100,283
101,285
102,287
103,290
104,290
105,291
106,295
107,296
108,298
109,300
110,304
111,305
112,305
113,306
114,308
115,311
116,311
117,315
118,317
119,320
120,320
121,321
122,323
123,327
124,328
125,330
126,332
127,333
128,333
129,334
130,336
131,339
132,341
133,343
134,345
135,348
136,348
137,349
138,354
139,355
140,357
141,358
142,363
143,364
144,364
145,365
146,367
147,370
148,370
149,373
150,376
151,379
152,379
153,380
154,382
155,385
156,386
157,388
158,390
159,391
160,391
161,392
162,395
163,398
164,399
165,401
166,403
167,407
168,407
169,408
170,412
171,413
172,415
173,416
174,421
175,422
176,422
177,423
178,425
179,428
180,428
181,432
182,434
183,437
184,437
185,438
186,440
187,444
188,445
189,447
190,449
191,450
192,450
193,451
194,453
195,456
196,458
197,460
198,462
199,465
200,465
201,466
202,471
203,472
204,474
205,475
206,479
207,480
208,480
209,481
210,484
211,487
212,487
213,490
214,492
215,495
216,495
217,496
218,498
219,502
220,503
221,505
222,507
223,508
224,508
225,509
226,511
227,515
228,516
229,518
230,520
231,523
232,523
233,524
234,529
235,530
236,532
237,533
238,538
239,539
240,539
241,540
242,542
243,545
244,545
245,548
246,551
247,554
248,554
249,555
250,557
251,560
252,562
253,564
254,566
255,567
256,567
257,568
258,570
259,573
260,574
261,576
262,578
263,582
264,582
265,583
266,587
267,588
268,590
269,592
270,596
271,597
272,597
273,598
274,600
275,603
276,603
277,607
278,609
279,612
280,612
281,613
282,615
283,619
284,620
285,622
286,624
287,625
288,625
289,626
290,628
291,631
292,633
293,635
294,637
295,640
296,640
297,641
298,646
299,647
300,649
301,650
302,654
303,655
304,655
305,657
306,659
307,662
308,662
309,665
310,667
311,670
312,670
313,672
314,674
315,677
316,678
317,680
318,682
319,683
320,683
321,684
322,686
323,690
324,691
325,693
326,695
327,698
328,698
329,700
330,704
331,705
332,707
333,708
334,713
335,714
336,714
337,715
338,717
339,720
340,720
341,724
342,726
343,729
344,729
345,730
346,732
347,735
348,737
349,739
350,741
351,742
352,742
353,743
354,745
355,748
356,750
357,752
358,754
359,757
360,757
361,758
362,762
363,763
364,765
365,767
366,771
367,772
368,772
369,773
370,775
371,778
372,778
373,782
374,784
375,787
376,787
377,788
378,790
379,794
380,795
381,797
382,799
383,800
384,800
385,801
386,803
387,806
388,808
389,810
390,812
391,815
392,815
393,816
394,821
395,822
396,824
397,825
398,830
399,831
400,831
401,832
402,834
403,837
404,837
405,840
406,843
407,846
408,846
409,847
410,849
411,852
412,853
413,855
414,857
415,858
416,858
417,859
418,862
419,865
420,866
421,868
422,870
423,874
424,874
425,875
426,879
427,880
428,882
429,883
430,888
431,889
432,889
433,890
434,892
435,895
436,895
437,899
438,901
439,904
440,904
441,905
442,907
443,911
444,912
445,914
446,916
447,917
448,917
449,918
450,920
451,923
452,925
453,927
454,929
455,932
456,932
457,933
458,938
459,939
460,941
461,942
462,946
463,947
464,947
465,948
466,951
467,954
468,954
469,957
470,959
471,962
472,962
473,963
474,965
475,969
476,970
477,972
478,974
479,975
480,975
481,976
482,978
483,982
484,983
485,985
486,987
487,990
488,990
489,991
490,996
491,997
492,999
493,1000
494,1005
495,1006
496,1006
497,1007
498,1009
499,1012
500,1012
501,1015
502,1018
503,1021
504,1021
505,1022
506,1024
507,1027
508,1029
509,1031
510,1033
511,1034
512,1034
513,1035
514,1037
515,1040
516,1041
517,1043
518,1045
519,1049
520,1049
521,1050
522,1054
523,1055
524,1057
525,1059
526,1063
527,1064
528,1064
529,1065
530,1067
531,1070
532,1070
533,1074
534,1076
535,1079
536,1079
537,1080
538,1082
539,1086
540,1087
541,1089
542,1091
543,1092
544,1092
545,1093
546,1095
547,1098
548,1100
549,1102
550,1104
551,1107
552,1107
553,1108
554,1113
555,1114
556,1116
557,1117
558,1121
559,1122
560,1122
561,1124
562,1126
563,1129
564,1129
565,1132
566,1134
567,1137
568,1137
569,1139
570,1141
571,1144
572,1145
573,1147
574,1149
575,1150
576,1150
577,1151
578,1153
579,1157
580,1158
581,1160
582,1162
583,1165
584,1165
585,1167
586,1171
587,1172
588,1174
589,1175
590,1180
591,1181
592,1181
593,1182
594,1184
595,1187
596,1187
597,1191
598,1193
599,1196
600,1196
601,1197
602,1199
603,1202
604,1204
605,1206
606,1208
607,1209
608,1209
609,1210
610,1212
611,1215
612,1217
613,1219
614,1221
615,1224
616,1224
617,1225
618,1229
619,1230
620,1232
621,1234
622,1238
623,1239
624,1239
625,1240
626,1242
627,1245
628,1245
629,1249
630,1251
631,1254
632,1254
633,1255
634,1257
635,1261
636,1262
637,1264
638,1266
639,1267
640,1267
641,1268
642,1270
643,1273
644,1275
645,1277
646,1279
647,1282
648,1282
649,1283
650,1288
651,1289
652,1291
653,1292
654,1297
655,1298
656,1298
657,1299
658,1301
659,1304
660,1304
661,1307
662,1310
663,1313
664,1313
665,1314
666,1316
667,1319
668,1320
669,1322
670,1324
671,1325
672,1325
673,1326
674,1329
675,1332
676,1333
677,1335
678,1337
679,1341
680,1341
681,1342
682,1346
683,1347
684,1349
685,1350
686,1355
687,1356
688,1356
689,1357
690,1359
691,1362
692,1362
693,1366
694,1368
695,1371
696,1371
697,1372
698,1374
699,1378
700,1379
701,1381
702,1383
703,1384
704,1384
705,1385
706,1387
707,1390
708,1392
709,1394
710,1396
711,1399
712,1399
713,1400
714,1405
715,1406
716,1408
717,1409
718,1413
719,1414
720,1414
721,1415
722,1418
723,1421
724,1421
725,1424
726,1426
727,1429
728,1429
729,1430
730,1432
731,1436
732,1437
733,1439
734,1441
